"NA06985","NA06994","NA07037","NA10847","NA11920","NA11918","NA11931","NA12003","NA12006","NA12287"
"ENSG00000003402",447,322,237,211,344,250,425,416,1002,678
"ENSG00000003436",0,1,0,0,0,0,0,2,0,0
"ENSG00000003509",20,28,20,21,36,10,79,18,74,51
"ENSG00000003756",170,117,84,120,150,64,245,218,166,156
"ENSG00000003987",1,1,0,1,4,0,2,1,0,1
"ENSG00000003989",1,1,7,0,1,2,1,0,0,0
"ENSG00000004059",459,300,525,347,807,101,645,374,790,608
"ENSG00000004142",753,676,743,599,1394,348,1510,716,2334,1441
"ENSG00000004399",1,1,7,5,8,0,0,16,172,5
"ENSG00000004455",251,228,252,223,401,327,890,268,839,557
"ENSG00000004468",49,41,132,119,17,26,45,44,84,61
"ENSG00000004478",158,279,354,170,355,151,546,254,1016,867
"ENSG00000004487",346,485,617,467,1072,305,1032,699,1142,1011
"ENSG00000004534",183,147,150,191,298,116,270,273,597,150
"ENSG00000004660",3,12,10,13,10,10,10,25,48,26
"ENSG00000004700",105,173,127,127,198,160,486,170,411,263
"ENSG00000004766",23,26,1,19,42,36,121,30,76,49
"ENSG00000004776",2,5,3,5,27,1,1,4,139,0
"ENSG00000004777",64,23,26,75,52,9,25,60,40,10
"ENSG00000004779",242,211,278,207,270,93,620,178,352,585
"ENSG00000004809",0,0,0,0,0,0,1,0,0,0
"ENSG00000004838",0,0,0,1,0,1,0,3,0,1
"ENSG00000004846",0,0,0,0,0,0,0,2,0,0
"ENSG00000004864",61,92,120,60,118,55,212,60,134,167
"ENSG00000004866",136,160,63,118,334,119,416,237,394,248
"ENSG00000004897",127,107,97,82,213,189,454,125,485,197
"ENSG00000004939",0,0,3,0,0,0,1,0,0,2
"ENSG00000004975",231,268,364,272,531,83,389,374,644,458
"ENSG00000005007",1241,770,967,1348,1074,256,1203,1179,1756,950
"ENSG00000005020",54,68,134,80,496,232,252,220,562,225
"ENSG00000005059",106,73,146,163,125,123,254,115,170,179
"ENSG00000005075",133,99,160,114,164,15,190,122,107,145
"ENSG00000005100",214,144,198,241,322,174,573,250,826,254
"ENSG00000005102",14,0,5,1,6,2,0,0,34,6
"ENSG00000005108",1,0,0,0,0,0,0,0,4,1
"ENSG00000005156",95,90,71,89,280,94,299,162,557,219
"ENSG00000005175",51,57,33,32,164,69,209,91,197,107
"ENSG00000005187",12,12,27,29,29,61,41,44,72,49
"ENSG00000005189",28,35,26,42,57,16,91,61,100,72
"ENSG00000005194",42,28,18,25,131,15,84,31,97,85
"ENSG00000005206",107,78,80,95,101,14,106,96,72,76
"ENSG00000005238",41,29,47,36,43,26,46,82,160,39
"ENSG00000005243",5,3,7,7,4,7,18,10,0,7
"ENSG00000005249",0,0,0,2,0,0,3,5,0,3
"ENSG00000005339",880,414,409,954,916,309,649,1223,2878,123
"ENSG00000005379",19,22,13,24,11,3,7,28,0,2
"ENSG00000005381",0,0,4,0,0,0,0,1,62,1
"ENSG00000005436",62,77,35,44,93,59,173,82,103,93
"ENSG00000005448",193,237,398,297,258,149,482,345,388,460
"ENSG00000005469",33,29,20,13,33,17,92,15,23,84
"ENSG00000005471",23,20,39,19,12,13,28,39,110,27
"ENSG00000005483",327,240,248,303,1070,405,823,987,1379,172
"ENSG00000005486",356,174,151,216,227,46,372,256,356,212
"ENSG00000005513",0,2,9,0,0,0,2,2,0,0
"ENSG00000005700",154,144,85,94,250,289,506,206,173,265
"ENSG00000005801",54,40,45,39,46,36,116,67,128,62
"ENSG00000005810",534,602,498,619,773,588,1589,937,1711,452
"ENSG00000005812",91,72,173,128,178,118,217,116,280,195
"ENSG00000005844",319,286,534,651,1323,393,847,1060,1392,459
"ENSG00000005882",29,16,41,20,72,11,54,49,173,51
"ENSG00000005884",24,16,62,41,104,19,39,109,91,51
"ENSG00000005955",221,175,181,279,223,126,455,212,334,238
"ENSG00000005961",0,0,0,5,1,2,0,0,16,0
"ENSG00000006007",169,133,132,157,419,91,530,309,378,301
"ENSG00000006015",153,126,370,214,107,28,157,121,215,347
"ENSG00000006016",1,1,0,0,0,0,0,0,0,0
"ENSG00000006025",53,62,36,77,86,8,78,146,225,33
"ENSG00000006042",1,0,0,0,1,0,2,0,0,2
"ENSG00000006062",616,333,201,322,249,64,265,439,829,222
"ENSG00000006071",0,0,0,0,0,0,0,0,0,1
"ENSG00000006075",229,98,235,200,276,59,376,270,666,267
"ENSG00000006114",192,179,207,250,514,160,579,444,435,275
"ENSG00000006116",0,0,0,0,0,0,1,0,0,2
"ENSG00000006118",13,53,69,64,39,13,70,118,56,75
"ENSG00000006125",367,315,319,233,908,297,1070,510,1092,684
"ENSG00000006194",249,157,160,241,122,51,248,231,460,190
"ENSG00000006210",6,12,9,3,3,1,1,16,0,1
"ENSG00000006282",116,103,96,122,38,25,235,222,173,224
"ENSG00000006283",4,5,5,0,0,0,1,1,0,4
"ENSG00000006327",0,0,2,2,11,0,10,5,0,4
"ENSG00000006377",0,0,0,1,1,0,0,0,0,0
"ENSG00000006432",33,61,94,81,194,35,169,144,241,59
"ENSG00000006451",147,78,106,71,139,80,282,110,165,266
"ENSG00000006453",390,260,53,74,183,23,347,177,97,122
"ENSG00000006459",9,10,2,4,13,7,21,16,0,0
"ENSG00000006468",0,0,0,0,0,0,0,1,0,0
"ENSG00000006530",100,87,92,58,121,58,203,127,198,169
"ENSG00000006534",2,12,0,1,1,1,0,1,0,1
"ENSG00000006555",16,13,13,11,33,5,3,9,44,18
"ENSG00000006576",101,59,39,112,253,170,278,179,151,123
"ENSG00000006607",83,77,83,78,226,23,197,100,297,99
"ENSG00000006625",78,105,84,95,79,50,253,79,130,156
"ENSG00000006634",9,17,27,18,65,21,63,41,60,32
"ENSG00000006638",9,0,16,2,4,0,0,6,0,1
"ENSG00000006652",40,53,34,31,84,22,94,45,49,48
"ENSG00000006659",9,9,0,9,31,5,17,33,12,0
"ENSG00000006695",122,91,107,70,356,77,221,110,468,182
"ENSG00000006704",30,18,13,20,12,1,41,60,0,32
"ENSG00000006712",270,200,370,315,892,136,559,375,1039,419
"ENSG00000006715",177,132,138,115,198,133,432,200,479,219
"ENSG00000006740",69,140,105,23,18,2,63,8,51,108
"ENSG00000006744",645,523,626,520,1225,221,1167,669,1822,1264
"ENSG00000006747",0,0,16,0,1,0,0,1,0,14
"ENSG00000006788",0,0,0,0,0,0,0,1,0,1
"ENSG00000006831",411,327,365,369,591,315,1024,456,593,579
"ENSG00000006837",1,1,0,0,0,4,10,2,0,3
"ENSG00000007038",75,0,5,4,1,3,132,2,10,0
"ENSG00000007047",345,240,259,253,366,97,239,501,575,144
"ENSG00000007062",0,2,0,0,0,0,0,0,0,0
"ENSG00000007080",543,430,644,469,713,84,607,414,1405,769
"ENSG00000007129",33,36,26,73,106,4,105,73,60,41
"ENSG00000007168",470,291,346,346,610,277,961,396,871,532
"ENSG00000007171",0,0,0,0,0,1,0,0,0,1
"ENSG00000007174",0,0,1,0,0,0,0,4,0,0
"ENSG00000007202",730,870,914,774,2173,518,2873,1191,4793,1794
"ENSG00000007237",628,521,517,552,480,481,1773,774,1155,455
"ENSG00000007255",311,214,307,261,184,158,351,305,284,446
"ENSG00000007264",6,29,11,5,0,0,7,5,37,0
"ENSG00000007312",1086,436,1169,840,925,207,1015,576,709,1207
"ENSG00000007314",2,7,13,2,3,4,6,1,0,0
"ENSG00000007341",7,7,3,17,45,10,26,20,0,28
"ENSG00000007372",5,0,0,1,10,6,4,3,38,3
"ENSG00000007376",419,322,350,283,533,52,423,470,1278,565
"ENSG00000007384",1,4,1,2,0,0,2,15,0,2
"ENSG00000007392",70,56,74,80,123,12,161,55,289,224
"ENSG00000007402",2,1,13,2,3,0,2,4,0,0
"ENSG00000007516",1,4,5,4,4,1,0,3,0,3
"ENSG00000007520",487,387,787,428,253,68,431,400,740,962
"ENSG00000007541",119,106,189,124,128,20,172,132,264,214
"ENSG00000007545",74,54,55,81,79,9,87,97,166,59
"ENSG00000007866",1,0,4,0,3,0,0,6,0,0
"ENSG00000007908",0,0,0,0,0,0,0,3,0,0
"ENSG00000007923",198,162,222,191,329,101,388,184,706,276
"ENSG00000007944",139,105,133,60,108,38,117,135,122,93
"ENSG00000007968",63,71,237,251,356,60,200,125,171,168
"ENSG00000008018",641,457,714,486,1434,386,1767,442,633,1393
"ENSG00000008083",343,327,240,248,216,69,358,270,701,137
"ENSG00000008118",3,0,0,0,3,0,3,0,0,0
"ENSG00000008128",30,52,32,34,131,29,77,57,327,46
"ENSG00000008130",361,388,607,441,412,87,636,511,984,659
"ENSG00000008196",0,0,10,1,1,3,0,0,0,11
"ENSG00000008226",2,1,0,0,1,0,0,3,0,0
"ENSG00000008256",112,144,63,114,136,42,107,91,172,136
"ENSG00000008277",37,29,54,16,111,47,54,87,97,118
"ENSG00000008282",126,121,76,95,122,142,410,141,61,116
"ENSG00000008283",79,72,33,30,24,7,72,13,42,58
"ENSG00000008294",219,179,131,213,199,89,415,374,136,211
"ENSG00000008300",12,14,5,20,31,6,28,19,0,50
"ENSG00000008311",2,0,6,1,6,2,0,1,55,6
"ENSG00000008323",53,31,34,9,14,2,77,25,24,19
"ENSG00000008324",44,30,52,34,36,38,153,20,43,63
"ENSG00000008382",112,111,222,167,127,54,166,112,200,190
"ENSG00000008394",57,79,39,16,567,5,184,133,205,66
"ENSG00000008405",18,27,23,7,10,8,13,14,14,38
"ENSG00000008438",0,0,0,1,0,0,0,0,0,0
"ENSG00000008441",6,14,18,28,36,7,10,12,64,4
"ENSG00000008513",27,30,55,57,49,15,58,147,111,26
"ENSG00000008516",2,10,11,10,7,1,3,14,0,3
"ENSG00000008517",127,342,240,145,66,59,133,142,170,149
"ENSG00000008710",111,105,87,143,56,14,58,240,323,42
"ENSG00000008735",3,5,3,0,5,0,1,1,14,9
"ENSG00000008838",466,430,487,493,655,123,889,643,1897,649
"ENSG00000008853",166,252,102,259,131,71,160,282,386,136
"ENSG00000008869",85,58,28,66,139,116,265,129,287,121
"ENSG00000008952",321,343,394,443,1481,635,2199,956,851,821
"ENSG00000008988",1148,882,969,720,490,549,2104,853,520,1750
"ENSG00000009307",1784,1549,1222,1217,2423,2060,4970,4053,4374,2849
"ENSG00000009335",461,386,603,390,728,264,1058,471,1406,959
"ENSG00000009413",83,85,50,93,100,107,249,139,203,76
"ENSG00000009724",4,2,0,0,2,2,10,3,0,1
"ENSG00000009780",14,10,7,20,51,18,50,13,28,31
"ENSG00000009790",157,156,225,234,364,162,367,224,371,310
"ENSG00000009830",14,21,59,19,31,11,53,41,187,79
"ENSG00000009844",95,120,78,103,277,148,419,134,291,228
"ENSG00000009950",0,0,0,0,0,0,0,4,0,0
"ENSG00000009954",609,516,491,735,1118,491,1417,790,1997,635
"ENSG00000010017",220,193,232,216,277,123,398,298,294,206
"ENSG00000010030",44,18,31,8,41,4,21,2,8,18
"ENSG00000010072",41,33,36,40,29,28,67,21,97,58
"ENSG00000010165",325,277,333,311,396,160,677,302,806,754
"ENSG00000010219",46,51,67,36,107,38,134,95,145,70
"ENSG00000010244",479,262,277,331,1029,673,1065,474,1298,569
"ENSG00000010256",672,735,1359,866,1142,333,1576,965,2058,2271
"ENSG00000010270",127,100,107,90,232,93,414,134,292,178
"ENSG00000010278",0,22,18,40,34,4,17,6,9,90
"ENSG00000010282",0,0,0,1,0,0,0,0,0,0
"ENSG00000010292",572,786,1067,1056,1557,456,2127,1107,2839,1278
"ENSG00000010295",117,82,96,82,57,11,115,107,220,73
"ENSG00000010310",4,4,2,15,9,3,10,6,25,4
"ENSG00000010318",7,10,11,32,21,10,29,33,20,17
"ENSG00000010319",0,0,2,0,1,0,0,0,0,0
"ENSG00000010322",451,343,334,454,469,127,572,583,1000,428
"ENSG00000010327",0,0,3,0,0,0,0,0,0,0
"ENSG00000010361",46,39,124,68,55,17,81,38,77,85
"ENSG00000010379",0,0,0,0,1,0,0,0,0,0
"ENSG00000010539",47,27,28,59,33,22,111,31,55,64
"ENSG00000010610",30,24,16,20,6,5,35,34,65,5
"ENSG00000010626",16,23,46,23,31,5,59,47,49,34
"ENSG00000010704",4,1,2,6,5,11,5,10,0,14
"ENSG00000010803",95,100,73,110,246,53,212,191,391,93
"ENSG00000010810",135,7,65,19,46,4,89,11,80,17
"ENSG00000010818",221,104,160,165,181,144,230,319,500,100
"ENSG00000011007",336,200,206,283,491,129,499,462,580,332
"ENSG00000011009",42,34,67,37,41,33,90,47,123,55
"ENSG00000011021",75,89,27,82,67,31,132,140,171,61
"ENSG00000011028",37,194,49,24,55,1,67,25,121,25
"ENSG00000011052",280,142,203,144,351,114,299,248,281,235
"ENSG00000011083",0,1,0,1,0,1,0,2,0,2
"ENSG00000011105",8,5,9,5,10,7,1,11,0,10
"ENSG00000011114",125,82,96,156,124,105,213,137,326,98
"ENSG00000011132",175,152,247,100,273,16,179,385,307,283
"ENSG00000011143",29,39,38,39,52,19,98,74,45,101
"ENSG00000011198",16,21,30,24,43,14,75,17,59,73
"ENSG00000011243",419,324,459,403,377,74,321,428,381,333
"ENSG00000011258",26,22,17,21,47,41,93,72,56,31
"ENSG00000011260",109,165,224,142,125,68,255,85,145,325
"ENSG00000011275",407,359,301,325,400,131,635,482,1118,316
"ENSG00000011295",99,83,108,125,207,75,275,136,138,176
"ENSG00000011304",1886,1781,2383,2140,3707,839,3162,2437,6520,2959
"ENSG00000011332",5,17,20,12,41,5,26,15,16,14
"ENSG00000011347",0,0,0,0,0,0,0,1,0,0
"ENSG00000011376",181,195,215,121,398,86,489,238,508,388
"ENSG00000011405",59,27,28,49,68,96,220,94,102,80
"ENSG00000011422",3,10,22,7,14,2,19,15,0,9
"ENSG00000011426",18,37,27,46,166,62,149,55,186,91
"ENSG00000011451",212,154,136,183,144,26,142,231,254,70
"ENSG00000011454",109,107,85,94,220,94,311,215,179,183
"ENSG00000011478",97,101,99,108,108,35,102,233,313,74
"ENSG00000011485",240,224,372,325,352,106,492,315,1192,758
"ENSG00000011523",111,78,66,129,143,36,194,148,436,87
"ENSG00000011566",7,9,9,8,16,7,31,15,30,8
"ENSG00000011590",177,222,108,237,364,67,156,556,683,352
"ENSG00000011600",3,1,0,6,0,0,6,1,0,1
"ENSG00000011638",41,39,98,57,50,66,101,86,202,165
"ENSG00000012048",56,109,92,139,295,131,474,237,334,174
"ENSG00000012061",219,169,272,213,214,55,327,281,421,368
"ENSG00000012124",1989,1355,1097,1317,2223,593,2105,2888,3813,1044
"ENSG00000012171",2,3,0,1,1,0,0,10,0,2
"ENSG00000012223",0,0,0,1,0,0,1,2,0,0
"ENSG00000012232",169,145,235,163,266,68,376,210,437,299
"ENSG00000012660",276,211,264,234,870,321,987,504,544,588
"ENSG00000012779",12,257,105,215,367,128,508,647,682,413
"ENSG00000012822",119,97,132,106,144,43,160,290,268,126
"ENSG00000012963",213,211,299,315,334,223,841,312,987,661
"ENSG00000012983",50,48,48,56,83,39,103,112,84,53
"ENSG00000013016",65,40,24,26,152,4,159,155,39,21
"ENSG00000013275",492,351,546,365,1035,203,1183,478,1843,921
"ENSG00000013288",399,203,194,309,453,72,315,366,1026,222
"ENSG00000013293",0,0,0,0,0,0,0,0,0,1
"ENSG00000013297",0,0,1,0,2,0,1,0,0,0
"ENSG00000013306",395,234,534,344,483,63,927,472,1089,1055
"ENSG00000013364",1447,1056,1526,1084,1187,224,812,1307,2722,1811
"ENSG00000013374",225,224,210,240,439,155,427,293,1087,411
"ENSG00000013375",41,35,32,37,70,47,173,51,285,84
"ENSG00000013392",10,21,28,11,14,14,48,34,15,26
"ENSG00000013441",3,1,7,8,3,1,12,12,0,12
"ENSG00000013503",42,47,58,36,92,48,146,56,96,109
"ENSG00000013523",122,97,123,81,207,39,264,145,272,178
"ENSG00000013561",22,23,18,10,53,35,77,34,71,77
"ENSG00000013573",10,11,13,13,16,4,19,10,4,16
"ENSG00000013583",4,0,3,9,2,3,0,1,0,6
"ENSG00000013588",12,2,0,1,2,0,3,7,0,1
"ENSG00000013725",4,25,5,4,60,1,15,2,7,4
"ENSG00000013810",504,542,1035,977,1194,159,1083,645,1712,1011
"ENSG00000014123",99,73,85,105,140,142,303,174,234,131
"ENSG00000014138",157,225,303,225,777,116,624,295,1198,708
"ENSG00000014164",214,217,268,262,387,52,296,400,835,188
"ENSG00000014216",1520,1245,1971,1465,3266,395,2139,2060,4558,2140
"ENSG00000014257",0,0,0,2,1,2,1,3,0,11
"ENSG00000014641",502,434,332,319,385,519,1750,319,566,989
"ENSG00000014824",126,131,136,125,147,164,436,167,186,227
"ENSG00000014914",5,1,0,0,0,0,6,4,20,2
"ENSG00000014919",176,159,239,155,240,188,585,185,441,351
"ENSG00000015133",545,368,263,740,300,90,298,902,1232,149
"ENSG00000015153",34,36,56,36,69,48,142,41,31,84
"ENSG00000015171",55,27,26,71,163,69,150,74,342,43
"ENSG00000015413",0,0,0,0,0,0,2,9,0,0
"ENSG00000015475",199,315,324,265,239,33,864,345,465,495
"ENSG00000015479",324,373,222,302,650,403,1249,576,1020,817
"ENSG00000015520",0,0,9,1,0,0,0,0,0,3
"ENSG00000015532",133,131,154,110,172,30,145,234,285,159
"ENSG00000015592",5,2,0,1,3,0,2,0,0,4
"ENSG00000015676",525,462,724,560,946,209,1153,691,1357,1100
"ENSG00000016082",1,0,2,0,0,0,0,0,0,0
"ENSG00000016391",579,677,715,477,243,28,728,380,1135,557
"ENSG00000016402",0,0,0,1,1,0,0,0,0,0
"ENSG00000016602",0,0,0,0,0,0,0,0,0,2
"ENSG00000016864",72,68,44,67,117,66,235,165,160,122
"ENSG00000017260",194,200,253,223,517,368,990,281,531,818
"ENSG00000017373",3,1,4,3,4,0,1,6,0,0
"ENSG00000017427",1,65,16,83,118,50,98,118,33,14
"ENSG00000017797",202,199,271,223,318,80,260,217,609,246
"ENSG00000018189",30,30,23,35,16,14,36,22,19,30
"ENSG00000018280",0,0,1,4,5,0,8,0,0,1
"ENSG00000018408",22,0,18,1,27,40,8,0,0,32
"ENSG00000018510",149,170,188,137,260,239,581,162,621,406
"ENSG00000018625",1,0,0,0,1,0,0,0,0,0
"ENSG00000018699",113,94,106,84,221,98,283,88,377,229
"ENSG00000018869",4,2,7,3,0,0,5,0,0,1
"ENSG00000019102",1,3,7,1,2,0,1,3,0,0
"ENSG00000019144",0,1,4,0,2,0,1,6,0,1
"ENSG00000019169",0,0,0,0,0,0,1,0,0,0
"ENSG00000019186",0,0,0,0,0,0,1,0,0,0
"ENSG00000019485",5,2,18,2,3,0,2,0,0,0
"ENSG00000019549",0,0,0,2,0,0,0,0,0,0
"ENSG00000019582",33913,24756,27144,17835,75796,9167,52518,56673,91131,27518
"ENSG00000019991",0,0,0,0,1,23,1,2,0,6
"ENSG00000019995",114,95,41,70,209,63,231,137,183,124
"ENSG00000020129",579,282,323,318,479,119,414,404,604,442
"ENSG00000020181",0,2,3,1,1,0,1,4,0,0
"ENSG00000020219",0,0,0,1,0,0,0,0,0,0
"ENSG00000020256",174,146,146,153,342,88,241,271,522,175
"ENSG00000020426",37,33,55,33,53,40,134,49,201,87
"ENSG00000020577",7,13,19,19,27,2,18,20,167,13
"ENSG00000020633",6089,2813,4100,3087,7047,1289,3733,5645,11187,2965
"ENSG00000020922",28,31,36,27,63,59,137,54,60,82
"ENSG00000021300",12,2,2,8,21,4,16,1,57,20
"ENSG00000021355",5,48,147,43,32,4,46,18,0,121
"ENSG00000021488",0,0,0,1,0,0,1,0,0,0
"ENSG00000021574",44,34,28,48,62,47,147,69,64,64
"ENSG00000021645",140,12,4,2,54,10,7,8,61,25
"ENSG00000021762",1,0,0,0,0,1,0,0,0,0
"ENSG00000021776",148,124,117,121,478,199,594,269,653,278
"ENSG00000021826",1,1,0,1,28,7,17,5,46,32
"ENSG00000022277",341,241,357,323,443,199,760,307,379,558
"ENSG00000022355",0,0,0,0,0,0,0,0,56,0
"ENSG00000022556",166,121,137,10,172,2,79,0,698,238
"ENSG00000022567",59,49,58,39,48,7,72,51,226,29
"ENSG00000022840",586,462,484,649,1032,302,1022,821,1385,574
"ENSG00000022976",59,48,55,49,63,6,82,56,78,78
"ENSG00000023041",42,28,53,50,136,54,137,46,236,125
"ENSG00000023171",55,44,5,6,56,2,107,11,29,16
"ENSG00000023191",669,790,1320,960,947,191,1150,835,1856,1763
"ENSG00000023228",305,277,232,231,366,264,840,364,475,596
"ENSG00000023287",78,72,88,65,95,88,239,120,157,96
"ENSG00000023318",250,168,207,214,1007,256,805,524,637,271
"ENSG00000023330",290,479,295,301,1116,172,827,322,1627,581
"ENSG00000023445",390,228,206,178,321,444,1397,785,921,673
"ENSG00000023516",108,132,99,106,390,235,662,286,644,203
"ENSG00000023572",20,14,45,26,35,13,54,11,64,79
"ENSG00000023608",18,17,14,16,20,54,81,27,76,51
"ENSG00000023697",98,99,148,79,123,68,291,65,107,210
"ENSG00000023734",301,256,281,192,782,233,763,278,739,436
"ENSG00000023839",1,0,2,1,1,1,2,6,0,1
"ENSG00000023843",0,0,0,0,0,0,0,0,0,1
"ENSG00000023892",300,316,439,519,415,67,501,380,431,549
"ENSG00000023902",408,435,596,495,712,123,487,493,1183,570
"ENSG00000023909",44,40,99,35,82,44,85,40,124,96
"ENSG00000024048",111,91,109,95,272,131,323,159,156,188
"ENSG00000024422",0,1,0,2,3,0,1,2,0,0
"ENSG00000024526",8,5,3,11,44,24,30,9,0,18
"ENSG00000024862",43,47,29,58,21,37,99,53,65,72
"ENSG00000025039",410,400,257,315,494,275,908,888,200,303
"ENSG00000025156",16,18,16,20,40,36,75,28,41,52
"ENSG00000025293",279,233,190,184,438,167,708,413,820,488
"ENSG00000025423",0,1,2,5,2,1,6,7,0,5
"ENSG00000025434",11,14,10,8,36,4,30,10,11,28
"ENSG00000025708",173,157,255,385,217,36,242,223,444,1023
"ENSG00000025770",283,284,623,393,431,88,537,313,623,823
"ENSG00000025772",160,213,121,136,468,69,422,240,356,309
"ENSG00000025796",123,115,153,190,165,218,318,266,119,119
"ENSG00000025800",445,340,344,328,870,353,1067,636,1857,584
"ENSG00000026025",680,1976,6662,3776,3126,2222,1865,4276,8266,4841
"ENSG00000026036",48,86,90,92,98,13,99,125,488,112
"ENSG00000026103",296,161,173,111,429,312,508,270,565,550
"ENSG00000026297",240,628,1761,1112,724,519,476,1119,440,1207
"ENSG00000026508",3124,2942,1551,1394,5253,1053,4649,5802,4352,1637
"ENSG00000026559",0,0,0,2,0,0,0,0,0,0
"ENSG00000026652",13,19,22,8,15,1,17,11,0,13
"ENSG00000026751",1283,854,706,628,1265,674,2650,1333,1747,1768
"ENSG00000026950",36,42,41,55,78,78,70,150,185,139
"ENSG00000027001",44,66,67,63,80,33,214,57,137,126
"ENSG00000027075",347,230,44,87,246,7,213,12,297,92
"ENSG00000027644",0,0,0,0,0,0,0,4,0,0
"ENSG00000027697",194,206,72,119,198,47,805,372,56,139
"ENSG00000027847",167,112,177,145,165,31,224,169,406,251
"ENSG00000027869",12,46,58,36,58,6,32,21,19,38
"ENSG00000028116",142,87,94,106,154,100,386,152,547,188
"ENSG00000028137",474,517,633,980,944,251,1181,1326,1211,581
"ENSG00000028203",94,113,67,79,288,122,427,204,365,188
"ENSG00000028277",1083,725,511,771,1326,322,1090,1773,2418,213
"ENSG00000028310",234,144,204,191,203,74,285,146,310,235
"ENSG00000028528",292,228,297,232,561,161,653,341,1123,506
"ENSG00000028839",40,30,32,25,88,25,92,63,97,86
"ENSG00000029153",150,95,150,84,107,125,231,92,424,242
"ENSG00000029363",118,118,83,128,272,336,504,201,432,170
"ENSG00000029364",292,216,260,217,540,264,776,387,544,517
"ENSG00000029534",52,24,86,56,39,43,31,23,277,134
"ENSG00000029559",0,0,0,0,0,0,0,0,0,1
"ENSG00000029639",30,38,28,26,34,32,100,12,24,54
"ENSG00000029725",368,320,238,274,511,301,979,556,1010,392
"ENSG00000030066",178,219,189,165,407,201,849,205,883,480
"ENSG00000030110",26,7,29,19,12,9,24,16,16,31
"ENSG00000030419",343,237,302,292,1009,1232,1722,716,1534,1122
"ENSG00000030582",1824,1319,1838,1592,2348,501,2557,3361,5145,1897
"ENSG00000031003",73,62,41,91,160,78,221,99,81,48
"ENSG00000031081",678,312,522,441,719,228,854,680,1279,577
"ENSG00000031544",0,0,0,0,0,0,1,0,0,0
"ENSG00000031691",13,11,12,10,26,57,57,19,0,49
"ENSG00000031698",801,599,988,555,1066,412,1526,753,2190,1368
"ENSG00000031823",442,317,361,493,762,143,581,618,1443,382
"ENSG00000032219",84,70,37,65,72,89,241,113,181,76
"ENSG00000032389",248,210,348,214,196,69,432,182,322,460
"ENSG00000032444",541,578,832,658,816,144,792,789,1859,1026
"ENSG00000032742",7,4,14,18,18,12,53,10,0,15
"ENSG00000033011",65,47,36,51,59,31,74,44,32,96
"ENSG00000033030",82,53,36,83,125,58,160,75,114,113
"ENSG00000033050",257,210,184,189,556,108,597,244,1140,575
"ENSG00000033100",743,344,470,463,372,68,531,610,433,489
"ENSG00000033170",87,229,198,241,453,224,1017,379,464,291
"ENSG00000033178",91,109,52,80,218,170,418,162,145,270
"ENSG00000033327",141,95,59,161,206,23,196,353,382,35
"ENSG00000033627",198,187,207,158,637,96,415,442,1217,276
"ENSG00000033800",123,70,71,84,651,116,349,230,502,164
"ENSG00000033867",37,22,25,36,63,90,147,72,172,93
"ENSG00000034053",0,0,0,0,0,0,0,0,0,2
"ENSG00000034063",192,171,447,421,390,68,351,235,1157,284
"ENSG00000034152",275,258,348,331,437,116,388,274,598,473
"ENSG00000034510",1810,1133,2774,2221,5064,1648,3004,2522,3512,3982
"ENSG00000034533",17,13,10,13,32,11,56,18,56,31
"ENSG00000034677",140,117,145,140,179,222,369,345,208,251
